32 63 , 31 ,
39 91 7 , 9 66 , 
37 , 21 , 
27 49 38 , 15 , 93 
43 46 81 , , 51 45 
41 61 10 , 56 , 47 
12 30 84 , 56 , 22
70 40 1 , 9 66 , 
59 64 86 , 23 51 ,
1 66 62 , 53 , 60
6 13 18 , 56 , 85
90 67 26 , 29 28 , 
5 61 6 , 56 , 47
10 84 61 , 18 , 85 
51 78 50 , 4 , 89 
15 27 93 , , 3 49
58 36 94 , , 28 29
75 73 74 , 4 , 71 
56 22 41 , , 10 30
94 25 28 , 16 , 24 
17 42 23 , 4 , 71 
, , 2 37 
18 56 30 , , 10 61
35 55 88 , 4 , 4
68 90 83 , 29 80 ,
29 24 19 , 16 , 80 
28 29 94 , 16 , 11 
3 38 49 , 15 , 93 
29 94 26 , 16 , 24 
28 94 26 , 16 , 24 
10 6 61 , 56 , 12
32 , 63 , 0
63 , 0 , 31
4 65 77 , , 44 14 
60 70 7 , 9 66 , 
14 44 72 , 33 , 71 
16 58 , , 94 28 
2 , 21 , 
3 49 27 , 15 , 93 
34 1 91 , 9 66 , 
70 7 39 , 9 66 , 
10 61 6 , 56 , 84
74 48 45 , 33 , 43
33 65 59 , , 42 44 
42 45 51 , 43 , 77
42 44 43 , 43 , 71
43 4 81 , , 42 45 
10 6 61 , 56 , 5 
23 51 20 , 43 , 17
27 3 38 , 15 , 93 
51 78 75 , 52 , 79
50 75 20 , 4 , 52
71 89 79 , 51 50 , 
1 62 91 , , 9 66
24 80 92 , 28 29 , 
35 88 51 , 81 , 77 
22 18 30 , , 10 41
76 77 8 , 51 50 , 
36 16 54 , , 28 94
4 43 46 , , 51 50 
7 70 39 , 9 66 , 
6 10 12 , 56 , 84
9 66 91 , 53 , 60
32 , 0 , 31
57 76 8 , 78 50 , 
43 46 4 , , 33 77 
9 62 40 , 53 , 39
11 83 90 , 28 29 , 
90 69 24 , 28 92 , 
90 68 67 , 94 68 , 
40 7 39 , 9 66 , 
52 89 79 , 75 51 , 
51 74 17 , 43 , 71 
82 43 46 , , 73 17 
75 51 20 , 4 , 71 
51 50 78 , 4 , 71 
57 89 46 , 75 51 ,
77 52 89 , 65 75 , 
50 75 51 , 43 , 89 
64 89 51 , 50 78 ,
90 25 69 , 24 94 ,
46 43 4 , , 35 88 
43 73 46 , , 45 42 
67 90 54 , 28 29 , 
10 61 12 , 18 , 87 
87 18 41 , 10 61 ,
52 71 79 , 51 75 , 
85 6 18 , 10 84 ,
35 55 51 , 81 , 71 
71 52 79 , 78 51 , 
80 68 69 , 28 24 ,
39 1 7 , 9 66 , 
83 67 90 , 28 29 , 
3 15 49 , 38 27 ,
28 29 25 , 36 , 90 
